State,2019,2010
California,39512223,37254523
Texas,28995881,25145561
Florida,21477737,18801310
New York,19453561,19378102
Pennsylvania,12801989,12702379
Illinois,12671821,12830632
Ohio,11689100,11536504
Georgia,10617423,9687653
North Carolina,10488084,9535483
Michigan,9986857,9883640
New Jersey,8882190,8791894
Virginia,8535519,8001024
Washington,7614893,6724540
Arizona,7278717,6392017
Massachusetts,6949503,6547629
Tennessee,6833174,6346105
Indiana,6732219,6483802
Missouri,6137428,5988927
Maryland,6045680,5773552
Wisconsin,5822434,5686986
Colorado,5758736,5029196
Minnesota,5639632,5303925
South Carolina,5148714,4625364
Alabama,4903185,4779736
Louisiana,4648794,4533372
Kentucky,4467673,4339367
Oregon,4217737,3831074
Oklahoma,3956971,3751351
Connecticut,3565287,3574097
Utah,3205958,2763885
Puerto Rico,3193694,3725789
Iowa,3155070,3046355
Nevada,3080156,2700551
Arkansas,3017825,2915918
Mississippi,2976149,2967297
Kansas,2913314,2853118
New Mexico,2096829,2059179
Nebraska,1934408,1826341
West Virginia,1792065,1852994
Idaho,1787147,1567582
Hawaii,1415872,1360301
New Hampshire,1359711,1316470
Maine,1344212,1328361
Montana,1068778,989415
Rhode Island,1059361,1052567
Delaware,973764,897934
South Dakota,884659,814180
North Dakota,762062,672591
Alaska,731545,710231
District of Columbia,705749,601723
Vermont,623989,625741
Wyoming,578759,563626
